host.1,host.2,ancestry,ancestry.tree.count,both.exist,fraction,any.relationship.tree.count
contaminator,contaminee,complex,6,8,6/8,8
contaminator,contaminee,none,2,8,2/8,8
contaminator,donor,none,5,8,5/8,5
contaminator,dual,complex,1,8,1/8,8
contaminator,dual,none,7,8,7/8,8
contaminator,single,none,6,8,6/8,6
contaminee,donor,none,5,8,5/8,5
contaminee,dual,complex,2,8,2/8,8
contaminee,dual,none,6,8,6/8,8
contaminee,single,none,7,8,7/8,7
donor,dual,complex,1,8,1/8,8
donor,dual,none,6,8,6/8,8
donor,recipient,complex,8,8,8/8,8
donor,single,none,5,8,5/8,5
dual,donor,trans,1,8,1/8,8
dual,single,none,6,8,6/8,8
dual,single,trans,2,8,2/8,8
